200 GeV
ntrk v2{2} stat-err sys-err
35 0.0681379 0.000382965 0.00691525
36 0.0659221 0.000445031 0.00669036
37 0.0659619 0.000516721 0.0066944

62 GeV
ntrk v2{4} stat-err sys-err
12 0.0573723 0.00607212 0.00815413
17 0.0550082 0.00325336 0.00781814
22 0.0459529 0.00465957 0.00653113
27 0.0396105 0.00866176 0.00562971
32 0.0386714 0.0141521 0.00549624
37 0.0413603 0.0204703 0.0058784

62 GeV
ntrk v2{2,gap} stat-err sys-err
6.5 0.0253099 0.000580914 0.00508093
8.5 0.0254665 0.000364375 0.00511236
10.5 0.0258282 0.000262257 0.00518498
12.5 0.0274733 0.000206358 0.00551522
14.5 0.0276118 0.000182879 0.00554302
16.5 0.0277772 0.000174448 0.00557623
18.5 0.029 0.000173615 0.00582172
20.5 0.0297956 0.000183488 0.00598142
22.5 0.0301318 0.000204376 0.00604892
24.5 0.0292681 0.000241045 0.00587553
26.5 0.0300339 0.000286483 0.00602927
28.5 0.0294231 0.000358179 0.00590664
30.5 0.0305804 0.000446275 0.00613897
32.5 0.0321511 0.000566948 0.00645428
34.5 0.0324868 0.000748087 0.00652168
36.5 0.0266018 0.00111688 0.00534028

39 GeV
ntrk v2{2} stat-err sys-err
5 0.0777386 0.000284388 0.00800368
6 0.0797614 0.000205162 0.00821194
7 0.0802631 0.000162801 0.0082636
8 0.0807941 0.00013795 0.00831826
9 0.0808432 0.000123249 0.00832332
10 0.0807999 0.000114797 0.00831886
11 0.0807334 0.000110607 0.00831201
12 0.0807678 0.000109804 0.00831555
13 0.0806133 0.000111678 0.00829965
14 0.0803552 0.000116215 0.00827307
15 0.0804491 0.000123156 0.00828274
16 0.080347 0.000132494 0.00827223
17 0.0808318 0.00014463 0.00832215
18 0.0800704 0.000161053 0.00824375
19 0.0800443 0.000180995 0.00824107
20 0.0795477 0.000205984 0.00818993
21 0.0786275 0.000237305 0.0080952
22 0.0795331 0.000274511 0.00818843
23 0.0801949 0.000320348 0.00825657
24 0.0796193 0.000378839 0.00819731
25 0.0803319 0.000451398 0.00827067
26 0.0795689 0.00054275 0.00819212
27 0.0801906 0.000654155 0.00825613

39 GeV
ntrk v2{4} stat-err sys-err
12 0.0630843 0.00668973 0.0090323
17 0.0639737 0.00529457 0.00915963
22 0.0650688 0.00722933 0.00931644
27 0.0698026 0.0118091 0.00999421

39 GeV
ntrk v2{2,gap} stat-err sys-err
6.5 0.0166936 0.000478447 0.00336367
8.5 0.019079 0.000337177 0.00384432
10.5 0.0204058 0.000293281 0.00411166
12.5 0.0211246 0.000293294 0.00425648
14.5 0.0215578 0.000322693 0.00434379
16.5 0.0241038 0.000363541 0.00485678
18.5 0.0245723 0.000454146 0.00495118
20.5 0.0239401 0.000606545 0.00482379
22.5 0.0262985 0.000796095 0.005299
24.5 0.0260646 0.0011427 0.00525187
26.5 0.0311954 0.00152703 0.0062857

20 GeV
ntrk v2{2} stat-err sys-err
5 0.0788714 0.000602667 0.00830962
