////////////////////////////////////////
//////                             ////
/////  Invariant yields (Fig. 2)  ////
////                             ////
////////////////////////////////////

Table 1.1. pi0 meson invariant yields vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)  Inv. yield ((GeV/c)^{-2})  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      1.25               7.451466e-02         1.267333e-03   3.207530e-03   3.874762e-03  
      1.75               1.260047e-02         1.640959e-04   6.130079e-04   6.552243e-04  
      2.25               2.707045e-03         3.134102e-05   1.474933e-04   1.407664e-04  
      2.75               7.310127e-04         8.119117e-06   4.390290e-05   3.801266e-05  
      3.25               2.206668e-04         2.605522e-06   1.435506e-05   1.147467e-05  
      3.75               7.442170e-05         1.011998e-06   5.160863e-06   3.869929e-06  
      4.25               2.809914e-05         4.654572e-07   2.048835e-06   1.461155e-06  
      4.75               1.119394e-05         2.381301e-07   8.477392e-07   5.820851e-07  
      5.25               5.000671e-06         1.403965e-07   3.884133e-07   2.600349e-07  
      5.75               2.366889e-06         8.611358e-08   1.869533e-07   1.230782e-07  
      6.25               1.127782e-06         5.518205e-08   8.972067e-08   5.864465e-08  
      6.75               6.460992e-07         4.041316e-08   5.123267e-08   3.359716e-08  
      7.25               3.402387e-07         2.772153e-08   2.730413e-08   1.769241e-08  
      7.75               2.345060e-07         2.074763e-08   1.863260e-08   1.219431e-08  
      8.25               1.275010e-07         1.462894e-08   1.016425e-08   6.630052e-09  


Table 1.2. eta meson invariant yields vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)  Inv. yield ((GeV/c)^{-2})  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      2.25               1.039996e-02         7.135924e-04   9.700893e-04   5.407982e-04  
      2.75               3.506021e-03         1.707260e-04   3.202063e-04   1.823131e-04  
      3.25               1.013428e-03         5.393687e-05   9.316679e-05   5.269824e-05  
      3.75               2.779172e-04         1.646732e-05   2.574095e-05   1.445170e-05  
      4.25               1.025653e-04         8.727786e-06   9.515577e-06   5.333397e-06  
      4.75               4.368911e-05         3.653009e-06   3.910923e-06   2.271834e-06  
       5.5               1.387634e-05         9.355836e-07   1.232545e-06   7.215698e-07  
       6.5               3.421838e-06         2.833963e-07   2.985084e-07   1.779356e-07  
       7.5               1.088868e-06         1.108992e-07   9.014324e-08   5.662111e-08  
       8.5               3.163791e-07         5.334341e-08   3.167089e-08   1.645171e-08  
       9.5               2.050098e-07         2.523052e-08   1.698413e-08   1.066051e-08  
        11               5.914051e-08         7.204507e-09   4.650874e-09   3.075306e-09  
        13               1.901360e-08         3.082191e-09   1.616923e-09   9.887070e-10  
 0-20%
      2.25               3.648059e-02         3.380209e-03   3.453299e-03   1.896991e-03  
      2.75               9.068020e-03         7.435010e-04   8.327849e-04   4.715371e-04  
      3.25               2.349272e-03         2.272613e-04   2.159138e-04   1.221621e-04  
      3.75               6.288800e-04         8.535381e-05   5.984127e-05   3.270176e-05  
      4.25               2.006550e-04         3.401926e-05   1.891486e-05   1.043406e-05  
      4.75               1.057982e-04         1.504349e-05   9.294710e-06   5.501504e-06  
       5.5               3.075160e-05         3.867935e-06   2.752570e-06   1.599083e-06  
       6.5               7.578081e-06         1.215431e-06   6.613389e-07   3.940602e-07  
       7.5               2.355480e-06         4.194660e-07   1.922234e-07   1.224850e-07  
       8.5               7.843106e-07         2.009259e-07   7.110484e-08   4.078415e-08  
       9.5               4.479790e-07         9.806830e-08   3.848519e-08   2.329491e-08  
        11               1.556452e-07         2.663191e-08   1.169239e-08   8.093551e-09  
        13               5.169073e-08         1.092500e-08   4.469705e-09   2.687918e-09  
20-40%
      2.25               1.475238e-02         1.215991e-03   1.413837e-03   7.671240e-04  
      2.75               4.421239e-03         3.080260e-04   4.171004e-04   2.299045e-04  
      3.25               1.426853e-03         9.236034e-05   1.336461e-04   7.419636e-05  
      3.75               3.697576e-04         2.746547e-05   3.441242e-05   1.922740e-05  
      4.25               1.579126e-04         1.498276e-05   1.449756e-05   8.211457e-06  
