////////////////////////////////////
//////                         ////
/////  Meson RAA (Fig. 5, 6)  ////
////                         ////
////////////////////////////////


Table 3.1.1. pi0 meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      1.75  5.634701e-01         7.367574e-03   5.397677e-02   1.459839e-01  
      2.25  5.641988e-01         6.626283e-03   5.537806e-02   1.461727e-01  
      2.75  5.969773e-01         6.912911e-03   6.094500e-02   1.546650e-01  
      3.25  6.022797e-01         7.787161e-03   6.382566e-02   1.560387e-01  
      3.75  6.046167e-01         9.579552e-03   6.635450e-02   1.566442e-01  
      4.25  6.292914e-01         1.050814e-02   7.367398e-02   1.630369e-01  
      4.75  6.106957e-01         1.312136e-02   7.297575e-02   1.582191e-01  
      5.25  6.184867e-01         1.755904e-02   7.496801e-02   1.602376e-01  
      5.75  6.055020e-01         2.230416e-02   7.396092e-02   1.568735e-01  
      6.25  5.860929e-01         2.899825e-02   7.201494e-02   1.518450e-01  
      6.75  6.261927e-01         3.963045e-02   7.709532e-02   1.622341e-01  
      7.25  5.815969e-01         4.791861e-02   7.226962e-02   1.506802e-01  
      7.75  6.850344e-01         6.150925e-02   8.487679e-02   1.774788e-01  
      8.25  6.249393e-01         7.268897e-02   7.787674e-02   1.619093e-01  


Table 3.1.2. pi0 meson RAA (Glauber 2) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      1.25  3.347577e-01         4.317707e-03   3.565374e-02   5.404323e-02  
      1.75  3.438445e-01         3.121955e-03   3.283757e-02   5.551020e-02  
      2.25  3.274912e-01         2.623487e-03   3.190582e-02   5.287012e-02  
      2.75  3.088076e-01         2.472882e-03   3.135670e-02   4.985385e-02  
      3.25  2.767342e-01         2.456259e-03   2.921950e-02   4.467592e-02  
      3.75  2.494535e-01         2.715705e-03   2.732172e-02   4.027173e-02  
      4.25  2.425537e-01         1.966660e-03   2.837164e-02   3.915783e-02  
      4.75  2.303870e-01         2.121677e-03   2.751407e-02   3.719364e-02  
      5.25  2.275866e-01         2.417100e-03   2.757979e-02   3.674154e-02  
      5.75  2.200934e-01         2.818231e-03   2.685179e-02   3.553184e-02  
      6.25  2.301775e-01         3.499545e-03   2.821137e-02   3.715982e-02  
      6.75  2.279670e-01         4.322922e-03   2.807184e-02   3.680295e-02  
      7.25  2.298409e-01         5.161165e-03   2.846692e-02   3.710548e-02  
      7.75  2.271228e-01         6.149325e-03   2.821554e-02   3.666667e-02  
      8.25  2.371039e-01         7.801267e-03   2.962687e-02   3.827801e-02  
      8.75  2.154677e-01         8.732330e-03   2.723400e-02   3.478507e-02  
