0.5 0.0152766166507 0.00034851561895
1.0 0.0334230956635 0.000593188686495
1.5 0.0471178232239 0.000826926011104
2.0 0.0547578838142 0.000972009247734
2.5 0.0612220722826 0.00105767173276
3.0 0.0650906101961 0.00111114896545
3.5 0.0662826331379 0.00118015067775

pT   v3   errv3
