institute,person,run,status
48,1707,19,prim
69,1708,19,prim
64,1709,19,prim
64,1710,19,prim
64,1711,19,prim
9,870,19,prim
69,1712,19,prim
43,1713,19,prim
23,1714,19,prim
75,1715,19,prim
23,1716,19,prim
75,1717,19,prim
69,1718,19,prim
64,1719,19,prim
18,1720,19,prim
9,1721,19,prim
69,1722,19,prim
89,1705,21,prim
89,1706,21,prim
69,360,21,prim
60,435,21,prim
60,520,21,prim
69,540,21,prim
62,844,21,prim
54,1098,21,prim
56,1633,21,prim
6,1659,21,prim
85,1700,21,prim
30,857,21,prim
43,552,21,prim
85,721,21,prim
20,827,21,prim
20,1102,21,prim
86,1640,21,prim
19,1695,21,prim
15,343,21,prim
56,381,21,prim
61,393,21,prim
23,404,21,prim
43,465,21,prim
14,485,21,prim
8,508,21,prim
8,510,21,prim
30,522,21,prim
23,1682,21,prim
4,895,21,prim
30,1648,21,prim
75,1651,21,prim
64,1680,21,prim
48,1657,21,prim
43,1635,21,prim
23,764,21,prim
30,495,21,prim
55,1585,21,prim
56,1589,21,prim
14,1595,21,prim
60,104,21,prim
48,304,21,prim
61,306,21,prim
8,327,21,prim
64,330,21,prim
43,335,21,prim
8,345,21,prim
19,353,21,prim
69,358,21,prim
3,394,21,prim
37,410,21,prim
58,428,21,prim
30,457,21,prim
30,458,21,prim
8,467,21,prim
55,504,21,prim
55,505,21,prim
8,529,21,prim
31,533,21,prim
61,538,21,prim
9,539,21,prim
25,544,21,prim
8,554,21,prim
75,582,21,prim
8,619,21,prim
88,698,21,prim
43,669,21,prim
60,672,21,prim
55,751,21,prim
11,783,21,prim
60,532,21,prim
23,819,21,prim
14,834,21,prim
60,874,21,prim
64,936,21,prim
69,1043,21,prim
31,962,21,prim
14,1004,21,prim
23,427,21,prim
31,1058,21,prim
31,567,21,prim
30,1553,21,prim
30,1554,21,prim
48,1556,21,prim
9,1557,21,prim
8,970,21,prim
55,1221,21,prim
75,1630,21,prim
69,880,21,prim
48,1666,21,prim
19,1668,21,prim
69,1669,21,prim
64,1645,21,prim
15,603,21,prim
14,749,21,prim
25,1197,21,prim
26,366,21,prim
26,596,21,prim
37,1574,21,prim
43,815,21,prim
61,488,21,prim
69,1639,21,prim
69,636,21,prim
69,1615,21,prim
69,1622,21,prim
69,954,21,prim
69,1661,21,prim
72,1124,21,prim
78,354,21,prim
79,951,21,prim
43,670,21,prim
43,805,21,prim
86,1037,21,prim
23,1562,21,prim
19,1609,21,prim
18,1693,21,prim
69,365,21,prim
79,1026,21,prim
69,986,21,prim
85,545,21,prim
29,585,21,prim
10,377,21,prim
10,378,21,prim
10,550,21,prim
16,584,21,prim
16,953,21,prim
8,712,21,prim
57,555,21,prim
1,576,21,prim
69,926,21,prim
66,996,21,prim
6,1053,21,prim
30,1202,21,prim
82,1549,21,prim
18,1581,21,prim
69,1608,21,prim
43,1650,21,prim
87,1568,21,prim
25,560,21,prim
62,594,21,prim
74,633,21,prim
79,641,21,prim
84,657,21,prim
9,942,21,prim
23,1602,21,prim
18,1619,21,prim
75,1649,21,prim
6,1660,21,prim
46,711,21,prim
69,357,21,prim
6,322,21,prim
25,1600,21,prim
85,1699,21,prim
36,1636,21,prim
86,1629,21,prim
64,1698,21,prim
48,1701,21,prim
75,842,21,prim
30,1692,21,prim
85,1702,21,prim
22,1655,21,prim
43,1713,21,prim
60,104,22,prim
48,304,22,prim
61,306,22,prim
8,327,22,prim
64,330,22,prim
8,345,22,prim
19,353,22,prim
69,357,22,prim
69,365,22,prim
56,381,22,prim
3,394,22,prim
23,404,22,prim
37,410,22,prim
30,457,22,prim
30,458,22,prim
43,465,22,prim
14,485,22,prim
55,504,22,prim
55,505,22,prim
8,508,22,prim
8,510,22,prim
30,522,22,prim
8,529,22,prim
31,533,22,prim
61,538,22,prim
25,544,22,prim
8,554,22,prim
75,582,22,prim
15,603,22,prim
8,619,22,prim
88,698,22,prim
8,712,22,prim
85,721,22,prim
14,749,22,prim
55,751,22,prim
23,764,22,prim
11,783,22,prim
43,805,22,prim
14,815,22,prim
23,819,22,prim
62,844,22,prim
30,857,22,prim
60,874,22,prim
64,936,22,prim
31,962,22,prim
8,970,22,prim
69,986,22,prim
37,1026,22,prim
69,1043,22,prim
31,1058,22,prim
54,1098,22,prim
30,1202,22,prim
27,1554,22,prim
48,1556,22,prim
9,1557,22,prim
18,1581,22,prim
25,1600,22,prim
19,1609,22,prim
69,1615,22,prim
19,1629,22,prim
56,1633,22,prim
43,1635,22,prim
69,1639,22,prim
86,1640,22,prim
64,1645,22,prim
30,1648,22,prim
75,1649,22,prim
75,1651,22,prim
22,1655,22,prim
48,1657,22,prim
69,1669,22,prim
64,1680,22,prim
23,1682,22,prim
30,1692,22,prim
18,1693,22,prim
19,1695,22,prim
89,1705,22,prim
18,1619,22,prim
75,1630,22,prim
23,1694,22,prim
37,1704,22,prim
48,1707,22,prim
69,1708,22,prim
69,1712,22,prim
43,1713,22,prim
23,1714,22,prim
23,1716,22,prim
22,383,22,prim
23,427,22,prim
74,880,22,prim
37,1102,22,prim
69,1608,22,prim
6,1660,22,prim
64,1698,22,prim
9,1721,22,prim
8,1723,22,prim
19,1724,22,prim
62,1725,22,prim
23,1726,22,prim
19,1727,22,prim
69,1728,22,prim
69,1729,22,prim
60,104,23,prim
48,304,23,prim
61,306,23,prim
8,327,23,prim
64,330,23,prim
8,345,23,prim
19,353,23,prim
78,354,23,prim
69,357,23,prim
69,365,23,prim
51,375,23,prim
56,381,23,prim
22,383,23,prim
3,394,23,prim
23,404,23,prim
37,410,23,prim
23,427,23,prim
30,457,23,prim
30,458,23,prim
43,465,23,prim
14,485,23,prim
61,488,23,prim
55,504,23,prim
55,505,23,prim
8,508,23,prim
8,510,23,prim
30,522,23,prim
8,529,23,prim
31,533,23,prim
61,538,23,prim
25,544,23,prim
85,545,23,prim
8,554,23,prim
75,582,23,prim
15,603,23,prim
8,619,23,prim
43,670,23,prim
88,698,23,prim
8,712,23,prim
85,721,23,prim
14,749,23,prim
55,751,23,prim
23,764,23,prim
11,783,23,prim
43,805,23,prim
23,819,23,prim
62,844,23,prim
30,857,23,prim
60,874,23,prim
74,880,23,prim
64,936,23,prim
31,962,23,prim
8,970,23,prim
69,986,23,prim
37,1026,23,prim
69,1043,23,prim
31,1058,23,prim
66,1089,23,prim
54,1098,23,prim
37,1102,23,prim
30,1202,23,prim
27,1554,23,prim
48,1556,23,prim
9,1557,23,prim
18,1581,23,prim
25,1600,23,prim
69,1608,23,prim
19,1609,23,prim
69,1615,23,prim
18,1619,23,prim
19,1629,23,prim
75,1630,23,prim
56,1633,23,prim
43,1635,23,prim
69,1639,23,prim
86,1640,23,prim
64,1645,23,prim
30,1648,23,prim
75,1649,23,prim
75,1651,23,prim
22,1655,23,prim
48,1657,23,prim
6,1660,23,prim
69,1669,23,prim
64,1680,23,prim
23,1682,23,prim
30,1692,23,prim
18,1693,23,prim
19,1695,23,prim
64,1698,23,prim
37,1704,23,prim
89,1705,23,prim
48,1707,23,prim
69,1708,23,prim
64,1709,23,prim
64,1710,23,prim
64,1711,23,prim
69,1712,23,prim
43,1713,23,prim
23,1714,23,prim
75,1715,23,prim
23,1716,23,prim
75,1717,23,prim
18,1720,23,prim
9,1721,23,prim
90,815,23,prim
43,1694,23,prim
