PID v1
pt v1 sta. sys. 

10-50%
pion
0.275 0.0035116 0.000176285 0.001
0.425 0.00353987 0.000175589 0.001
0.575 0.00329454 0.000200894 0.001
0.725 0.0017915 0.00024311 0.001
0.9 4.86604e-05 0.000271987 0.001
1.1 -0.00285028 0.000367715 0.001
1.3 -0.00661118 0.000494962 0.001
1.525 -0.0102192 0.000610819 0.001
1.775 -0.0149652 0.000863414 0.001
2.05 -0.0201268 0.00116406 0.002
2.4 -0.0257523 0.0017128 0.002
2.8 -0.0369297 0.00336601 0.002
3.25 -0.0515694 0.00624895 0.002
kaon
0.425 0.00288507 0.00115231 0.001
0.575 0.00570686 0.000794081 0.001
0.725 0.0044614 0.00075675 0.001
0.9 0.00262739 0.000719213 0.001
1.1 0.00061542 0.00085744 0.001
1.3 -0.00318781 0.00105236 0.001
1.525 -0.00623801 0.00119183 0.001
1.775 -0.0112092 0.00151837 0.001
2.05 -0.0115949 0.0018455 0.003
2.4 -0.0214552 0.00240812 0.003
2.8 -0.0246137 0.00410519 0.003
proton
0.425 -0.00265322 0.00236217 0.001
0.575 0.0021885 0.000919608 0.001
0.725 0.00417811 0.000788619 0.001
0.9 0.00521119 0.00063399 0.001
1.1 0.00282205 0.000666274 0.001
1.3 0.00247597 0.000786479 0.001
1.525 -0.00210473 0.000890644 0.001
1.775 -0.00900575 0.00119147 0.001
2.05 -0.0118665 0.00151574 0.003
2.4 -0.0200237 0.00199129 0.003
2.8 -0.0333644 0.00311879 0.003
