Charged hadron v3 
pt v3 sta. sys. 

0-10%
0.275 0.00695537 0.000173845 0.000875875
0.425 0.0134549 0.000195703 0.000652046
0.575 0.0195379 0.000229147 0.000983621
0.725 0.0257392 0.000272584 0.00109099
0.9 0.0343186 0.000292756 0.00160247
1.1 0.0428275 0.000376844 0.00216642
1.3 0.0529918 0.000485555 0.00306302
1.525 0.0625441 0.000577418 0.0036059
1.775 0.0757538 0.000793827 0.00380163
2.05 0.0823041 0.00102509 0.00537184
2.4 0.0922422 0.001358 0.00487198
2.8 0.0969991 0.00217706 0.00399653
3.25 0.0894056 0.00318575 0.00369017
3.85 0.0864652 0.004597 0.00376295
4.6 0.0564529 0.00725205 0.0106043

10-20%
0.275 0.00859986 0.000257418 0.00187108
0.425 0.0150663 0.000282631 0.00268076
0.575 0.0215022 0.000329115 0.00280918
0.725 0.0287287 0.000390928 0.00317633
0.9 0.0377985 0.000419577 0.00472467
1.1 0.0483423 0.000540026 0.0049777
1.3 0.0580045 0.000695931 0.00575918
1.525 0.0698386 0.000827026 0.00860997
1.775 0.0816132 0.00113512 0.00938943
2.05 0.0885261 0.00146151 0.00930546
2.4 0.100265 0.00192663 0.0100993
2.8 0.107536 0.00306808 0.00852646
3.25 0.109338 0.00446459 0.0106636
3.85 0.0877035 0.0064212 0.00662295
4.6 0.0834451 0.0101931 0.0147208


20-30%
0.275 0.0111914 0.000414368 0.00242854
0.425 0.016871 0.00044834 0.00527915
0.575 0.0245466 0.000520268 0.0079254
0.725 0.0314313 0.000617824 0.00934991
0.9 0.0409924 0.000662773 0.00939825
1.1 0.0513326 0.000853004 0.0129303
1.3 0.0635694 0.00109952 0.0129547
1.525 0.0779641 0.00130614 0.0139671
1.775 0.0900698 0.00178965 0.0155921
2.05 0.0984299 0.00229557 0.0195535
2.4 0.104292 0.00300892 0.0212208
2.8 0.113553 0.0047497 0.0136732
3.25 0.116347 0.00683852 0.0183491
3.85 0.087471 0.00976066 0.0147343
4.6 0.0919679 0.0155014 0.0172956
