=======200GeV 0.2-1.0 GeV/c========================
  Cent        v2      stat err   sys err
5.00e+00   2.57e-02   8.56e-05   6.29e-04
1.50e+01   4.47e-02   6.67e-05   1.48e-03
2.50e+01   5.90e-02   7.44e-05   2.51e-03
3.50e+01   6.81e-02   9.90e-05   2.89e-03
4.50e+01   7.25e-02   1.53e-04   2.40e-03
5.50e+01   7.22e-02   2.83e-04   2.40e-03

=======200GeV 1.0-2.0 GeV/c========================
  Cent        v2      stat err   sys err
5.00e+00   5.48e-02   1.94e-04   2.05e-03
1.50e+01   9.67e-02   1.51e-04   4.22e-03
2.50e+01   1.27e-01   1.70e-04   6.48e-03
3.50e+01   1.48e-01   2.30e-04   7.56e-03
4.50e+01   1.59e-01   3.65e-04   6.92e-03
5.50e+01   1.59e-01   6.98e-04   6.94e-03

=======200GV 2.0-4.0 GeV/c========================
  Cent        v2      stat err   sys err
5.00e+00   7.78e-02   6.16e-04   2.33e-03
1.50e+01   1.36e-01   4.46e-04   5.11e-03
2.50e+01   1.79e-01   4.90e-04   8.19e-03
3.50e+01   2.06e-01   6.55e-04   9.42e-03
4.50e+01   2.14e-01   1.03e-03   8.02e-03
5.50e+01   2.05e-01   1.93e-03   7.67e-03

